left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
221,262,212,256,197,347,194,350,201,454,190,456,194,539,175,568,0
253,278,214,261,192,373,182,366,204,454,199,454,197,542,175,567,0
228,283,208,272,180,372,178,372,184,461,208,463,197,541,174,565,0
241,320,195,309,183,406,166,397,201,470,221,465,195,543,177,567,1
237,459,200,406,140,427,140,433,219,474,228,470,192,540,178,569,1
235,451,133,428,145,416,136,425,219,467,225,470,192,536,176,569,1
243,391,167,290,142,414,137,417,219,466,219,468,191,550,177,569,1
245,376,196,354,141,410,140,412,205,463,217,467,190,550,178,568,1
248,354,142,282,145,402,141,404,206,463,211,465,191,549,177,569,1
244,335,205,322,160,399,141,392,207,461,211,463,191,546,178,568,1
242,354,204,323,155,401,147,397,247,448,209,461,198,548,176,570,1
252,291,219,275,189,363,173,358,205,456,200,456,196,541,176,564,0
259,278,221,262,198,370,182,359,203,456,194,454,194,540,175,565,0
