left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
172,83,166,82,171,119,167,118,171,152,168,152,173,189,170,179,0
171,84,166,83,171,122,168,122,171,154,170,154,172,189,172,188,0
173,84,166,83,172,122,168,121,172,154,170,154,173,189,171,183,0
172,84,165,83,171,122,166,121,172,154,170,154,173,190,172,186,0
172,85,165,83,169,123,166,123,171,154,169,154,172,189,173,185,0
171,84,165,83,169,123,164,122,171,155,169,156,172,189,172,185,0
170,84,167,82,169,123,167,122,171,156,169,156,172,190,172,184,0
170,84,167,82,171,123,171,121,171,156,171,155,172,190,173,186,0
169,84,166,83,170,124,169,122,171,156,172,155,172,189,171,184,0
169,84,166,82,171,123,170,122,172,156,173,155,173,190,171,183,0
169,84,167,82,171,123,170,121,172,155,172,155,172,189,172,187,0
168,85,166,82,173,123,170,122,172,156,173,156,173,190,173,186,0
167,84,167,82,173,123,176,121,172,156,172,156,172,189,174,188,0
166,86,169,83,174,124,178,122,172,157,174,156,172,190,173,186,0
166,89,167,85,177,125,181,123,172,156,171,155,172,191,173,186,0
165,91,166,88,180,126,185,124,171,156,169,156,172,190,172,185,0
164,97,163,95,182,130,181,128,168,156,168,155,172,190,172,186,1
165,100,161,99,182,134,181,133,167,156,169,156,172,191,171,187,1
163,104,162,102,184,136,181,136,167,157,168,157,172,191,171,182,1
161,112,161,107,186,139,193,136,166,157,164,155,173,192,172,189,1
163,114,162,110,185,142,188,139,166,157,165,154,173,192,173,190,1
161,118,161,115,191,145,188,142,166,159,164,150,173,192,173,190,2
162,121,160,118,190,147,187,143,165,159,163,149,172,192,175,184,2
161,124,159,120,191,149,189,146,164,161,164,148,173,191,173,190,2
160,127,160,122,185,151,189,148,164,162,162,150,172,192,172,189,2
161,129,160,125,190,152,188,150,163,162,162,151,173,191,173,191,2
160,131,163,126,190,155,190,152,163,162,161,153,172,192,172,188,2
160,132,160,127,189,156,189,152,163,163,161,152,171,192,172,194,2
160,131,165,127,188,155,190,152,163,161,161,152,172,191,164,178,2
160,126,162,122,189,151,189,150,162,162,162,153,172,192,173,192,2
160,121,161,117,185,148,188,146,163,161,161,149,172,192,172,191,2
161,111,161,107,186,140,184,138,162,158,160,149,172,192,174,190,1
162,103,159,101,182,136,182,133,162,159,162,156,172,191,172,189,1
164,96,161,94,181,132,175,132,163,157,162,156,172,191,165,190,1
165,88,164,87,174,126,181,125,166,157,167,155,172,190,171,189,0
167,84,166,83,173,124,178,123,168,154,166,153,171,190,172,185,0
168,83,170,82,172,124,176,121,169,155,169,154,172,191,172,185,0
170,82,171,80,168,120,170,120,171,157,171,155,172,189,173,185,0
171,82,170,81,169,120,165,120,171,155,169,154,172,189,172,183,0
171,82,169,81,168,120,163,120,170,155,168,155,172,190,169,177,0
172,82,169,81,169,121,164,121,171,155,166,154,173,190,169,176,0
171,82,169,82,169,121,164,121,171,155,166,153,172,190,172,185,0
170,83,167,82,170,120,166,120,170,155,167,154,173,189,171,182,0
169,83,169,80,172,122,168,120,170,155,167,154,173,190,172,185,0
167,84,166,82,172,124,171,122,170,154,168,154,172,190,171,185,0
168,85,167,84,174,125,179,123,168,156,167,156,172,190,174,186,0
166,89,164,87,176,127,173,126,167,156,169,156,172,190,172,186,0
164,94,163,92,181,129,182,127,166,156,163,155,172,191,170,179,1
163,99,161,98,182,132,179,132,166,157,166,157,172,191,172,187,1
163,107,160,104,184,138,187,134,163,158,167,157,173,192,172,189,1
162,111,162,108,183,143,185,140,164,158,164,147,173,193,169,189,2
161,116,162,112,182,146,186,143,162,160,162,149,173,192,172,189,2
161,120,161,117,184,151,186,147,162,161,161,150,172,191,166,178,2
161,122,161,120,184,153,187,149,160,161,160,151,172,192,171,191,2
160,126,162,123,184,154,189,152,160,162,159,152,172,192,175,190,2
160,129,162,123,187,156,190,154,160,163,160,152,173,192,172,191,3
160,130,159,127,188,158,189,155,160,163,159,152,172,191,173,191,3
160,131,158,129,188,157,189,157,159,164,158,152,171,191,171,191,3
161,131,159,129,188,158,187,157,160,164,157,152,171,191,172,191,3
160,130,159,128,187,157,187,157,160,164,158,151,172,192,172,191,3
161,127,159,125,186,156,189,155,159,164,167,166,171,192,171,193,2
160,124,163,119,181,154,187,151,158,163,158,153,171,191,172,191,2
160,114,158,112,181,147,185,143,158,160,159,150,170,190,172,188,2
161,106,161,104,180,142,178,137,160,159,156,155,171,193,172,191,1
162,98,161,94,178,134,181,131,162,156,169,156,171,191,172,189,1
164,92,162,89,176,129,177,127,164,154,169,154,171,191,172,188,1
165,87,164,85,172,126,173,124,167,153,165,153,170,191,172,189,0
167,85,164,82,172,124,168,123,168,155,166,155,170,191,172,187,0
168,83,166,81,170,121,167,121,169,154,168,154,171,191,171,187,0
171,83,168,81,170,121,164,121,171,155,169,154,171,190,171,185,0
172,83,168,82,170,122,164,121,170,156,169,154,172,191,172,185,0
