left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
255,118,205,76,247,314,209,299,258,502,220,502,247,601,209,601,0
254,121,201,79,242,327,209,308,254,481,220,500,242,597,209,597,0
251,116,202,86,247,327,213,300,269,496,232,507,202,594,213,598,0
260,132,202,105,249,330,183,311,280,497,249,485,202,590,218,594,0
267,157,208,116,241,335,178,316,293,494,267,490,204,494,193,494,0
274,188,220,148,245,382,172,316,293,499,289,499,249,422,209,499,0
283,278,220,211,230,410,150,381,309,513,103,440,203,264,216,537,2
301,296,238,242,112,448,146,457,317,508,314,508,206,549,216,552,2
305,317,244,256,206,448,113,468,326,509,323,501,221,550,230,559,2
304,317,252,258,235,454,147,445,330,494,324,497,140,510,226,553,2
305,315,253,260,142,455,120,465,328,498,325,494,247,559,230,556,2
293,295,232,238,118,439,143,442,322,496,319,489,146,485,146,496,2
280,251,262,251,173,397,177,415,323,479,312,482,216,546,259,589,2
277,227,241,184,227,385,177,374,302,474,302,474,248,595,220,510,1
264,173,222,143,218,351,188,355,290,472,283,476,264,590,226,590,1
255,138,203,90,214,363,196,349,266,470,262,470,225,581,244,585,1
238,93,204,55,238,297,192,297,254,451,242,451,254,574,242,574,0
250,92,201,50,242,275,185,260,216,458,220,447,216,592,204,588,0
247,94,201,49,232,296,190,296,251,463,224,463,251,585,209,589,0
247,91,200,48,235,301,220,301,251,458,212,458,220,594,216,594,0
251,95,194,50,239,323,194,296,255,474,243,474,224,592,205,592,0
242,91,189,53,242,320,197,320,272,474,246,470,261,590,208,590,0
