left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
144,65,144,67,157,110,156,111,154,142,159,142,151,183,151,188,0
141,66,145,69,150,111,152,113,154,144,159,144,150,184,150,189,0
141,65,148,66,148,109,148,113,152,144,156,145,147,178,149,189,0
143,66,150,67,147,112,143,114,153,147,157,148,149,187,149,189,0
148,69,155,72,133,112,133,114,150,147,158,148,149,183,148,187,1
149,72,155,75,136,115,130,117,148,148,158,147,148,183,148,185,1
151,78,158,82,138,120,130,121,148,147,158,147,148,186,148,186,1
156,84,160,88,139,123,132,124,149,146,159,147,149,184,148,185,1
157,84,160,93,140,126,130,128,156,134,161,146,144,173,150,183,2
157,93,162,97,140,129,131,131,159,132,162,145,146,165,151,181,2
158,98,163,101,141,129,130,135,161,131,163,143,147,166,152,179,2
158,104,162,105,133,138,130,141,163,141,166,143,149,168,153,179,2
155,106,163,109,134,138,132,141,164,139,167,141,154,177,152,177,3
160,107,165,112,135,143,133,145,164,126,168,142,151,168,158,179,3
161,108,165,111,138,142,134,144,169,138,169,140,153,178,157,176,3
163,107,164,108,138,140,132,142,168,139,168,141,152,168,155,176,3
161,102,164,103,140,135,133,135,169,138,168,141,152,165,158,174,2
161,97,164,98,142,128,134,131,166,131,169,140,152,174,154,174,2
161,89,164,92,146,123,136,127,167,130,169,140,151,162,155,178,2
165,79,162,79,147,116,135,119,165,138,168,140,151,164,156,177,1
159,69,161,71,149,111,140,112,161,135,167,140,150,165,156,177,1
156,57,158,59,152,103,146,105,159,137,164,138,152,175,155,178,0
153,51,158,53,148,100,149,100,153,134,161,138,154,173,154,176,0
152,48,154,51,147,98,152,99,152,133,157,137,155,172,153,175,0
154,48,149,49,159,102,154,102,161,136,154,136,155,171,154,177,0
153,48,149,49,163,101,157,102,162,133,156,137,154,171,153,175,0
153,49,148,49,163,99,158,103,162,137,157,138,154,170,153,174,0
153,51,147,50,164,99,158,102,166,136,157,136,154,169,153,175,0
153,51,147,51,166,101,160,102,166,137,158,136,154,168,153,176,0
152,51,147,50,166,100,162,102,164,136,157,136,155,167,154,176,0
152,51,147,51,166,100,161,102,166,136,158,137,155,169,153,175,0
