left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
188,187,162,210,221,275,196,283,213,346,182,352,219,436,188,430,0
189,192,160,218,224,282,201,291,205,350,176,356,220,439,189,433,1
188,202,160,227,229,291,202,299,202,350,168,360,219,436,188,434,1
188,217,157,238,231,302,204,308,200,354,163,362,219,437,188,432,2
187,233,156,252,233,313,206,319,195,355,156,366,220,437,187,432,2
187,249,155,265,235,327,208,335,192,360,151,369,220,440,187,433,2
186,263,155,280,235,338,202,345,188,361,150,371,219,437,188,434,2
187,278,153,289,235,354,208,369,185,362,147,372,219,436,187,433,3
186,289,153,301,238,366,203,379,186,363,146,375,218,439,186,433,3
184,300,150,315,235,370,195,378,182,365,144,374,217,437,186,433,3
185,304,151,314,237,377,226,399,181,366,145,375,216,437,186,431,3
184,301,150,314,237,376,222,398,180,366,146,375,216,437,184,432,3
184,297,152,310,237,365,209,375,180,363,145,374,215,436,186,433,3
185,287,153,304,235,357,222,382,180,360,148,372,217,435,186,434,3
183,278,157,295,236,350,208,372,180,359,149,370,219,435,186,432,3
185,268,152,288,237,343,211,348,182,361,151,370,219,437,186,432,3
184,261,152,276,236,333,206,342,184,359,150,369,219,437,186,431,2
184,251,153,267,235,326,209,330,187,357,152,369,218,437,187,432,2
186,233,154,253,231,310,209,318,193,354,156,365,217,435,186,433,2
185,224,157,243,233,302,212,308,198,354,160,363,219,437,187,434,2
185,212,156,234,232,293,209,301,201,351,164,361,218,436,187,434,1
187,201,158,229,230,286,207,293,205,348,171,360,220,436,189,432,1
190,193,159,218,225,278,202,286,208,346,175,357,219,436,188,434,1
190,186,161,211,223,275,198,284,210,343,183,354,220,434,190,432,0
