left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,squat
263,93,217,89,231,203,217,203,237,295,233,297,228,389,221,400,0
250,102,227,104,216,224,203,218,248,298,245,298,224,396,224,404,1
266,118,211,127,225,229,197,226,250,301,250,301,225,395,222,403,0
263,134,216,137,214,236,197,231,256,305,253,302,226,394,221,404,1
249,168,261,166,199,252,191,240,259,304,179,244,228,389,220,403,2
276,156,218,169,213,261,184,253,260,306,257,306,231,390,223,405,1
266,197,213,198,215,270,185,264,262,308,264,308,231,388,224,403,1
266,204,229,195,202,287,181,273,263,307,172,264,231,390,222,404,3
275,234,231,221,207,298,176,289,264,308,176,276,224,401,224,403,3
279,239,274,233,201,301,177,288,264,307,175,294,224,404,224,404,3
168,249,238,181,174,247,183,242,254,304,168,240,225,400,225,408,2
282,161,227,171,208,251,182,237,252,304,252,300,227,391,225,404,1
285,145,227,155,208,243,191,223,251,301,251,301,227,399,222,404,1
282,137,251,135,208,226,191,221,247,299,247,301,230,388,221,403,1
276,123,222,123,193,206,203,217,240,298,240,298,232,392,224,405,0
268,91,228,89,237,196,219,194,235,295,230,297,228,384,221,400,0
